ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
569,variable,,"CACAHUATE GARAPIÑADO",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/53.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-GARAP-1.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
570,variation,07503018231983,"CACAHUATE GARAPIÑADO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:569,,,,,,1,GRAMOS,"200 gr",,0
571,variation,07503050663827,"CACAHUATE GARAPIÑADO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:569,,,,,,2,GRAMOS,"1 kg",,0
576,variable,,"CACAHUATE GARAP/AJONJOLI",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,0,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/48.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-GARAP.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
577,variation,07503018231990,"CACAHUATE GARAP/AJONJOLI",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:576,,,,,,1,GRAMOS,,,0
578,variation,07503050663834,"CACAHUATE GARAP/AJONJOLI - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:576,,,,,,2,GRAMOS,"1 kg",,0
590,variable,,"CHABACANO DESHIDRATADO",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,0,,,,"Frutos secos",,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/65.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CHABACANO-DESHIDRATADO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
591,variation,07503050663117,"CHABACANO DESHIDRATADO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,45,,,,,,,id:590,,,,,,1,GRAMOS,"200 gr",,0
592,variation,07503050663957,"CHABACANO DESHIDRATADO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,240,,,,,,,id:590,,,,,,2,GRAMOS,"1 kg",,0
598,variable,,"CHICHARO NATURAL",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,,Semillas,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/35.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CHICHARO-NATURAL.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
